
                    V                          LATITUDE     LONGITUDE   OBSTACLE             AGL  AMSL  LT ACC MAR  FAA
ACTION    OAS#      S CT ST CITY             DEG MIN SEC  DEG MIN SEC   TYPE                  HT    HT     H V IND STUDY          JDATE
----------------------------------------------------------------------------------------------------------------------------------------
ADD       02-324348 U US AK UNALAKLEET       63 52 35.59N 160 47 37.14W BLDG               1 00035 00052 N 4 D N 2024AAL00514OE A2026151 
ADD       02-324351 U US AK CROOKED CREEK    61 51 48.41N 158 08 18.28W BLDG               1 00020 00225 N 4 D N 2024AAL00494OE A2026152 
ADD       02-324352 U US AK STONY RIVER      61 47 13.89N 156 35 17.89W BLDG               1 00020 00243 N 4 D N 2024AAL00495OE A2026152 
ADD       02-324353 U US AK SAVOONGA         63 41 33.13N 170 29 32.51W BLDG               1 00033 00045 N 4 D N 2024AAL00498OE A2026152 
ADD       02-324354 U US AK BREVIG MISSION   65 19 59.41N 166 29 15.04W BLDG               1 00033 00053 N 4 D N 2024AAL00499OE A2026152 
ADD       02-324355 U US AK EKWOK            59 20 58.91N 157 28 35.47W BLDG               1 00031 00146 N 1 A N 2024AAL00500OE A2026152 
OLD       02-324375 U US AK FAIRBANKS        64 49 49.30N 147 48 31.80W TOWER              1 00080 00511 N 4 D N 2023AAL00404OE A2024304 
NEW       02-324375 U US AK FAIRBANKS        64 49 49.30N 147 48 31.80W TOWER              1 00080 00511 N 4 D N 2023AAL00404OE C2026158 
ADD       02-324378 U US AK UTQIAGVIK        71 17 18.00N 156 45 46.00W BLDG               1 00026 00036 N 4 D N 2024AAL00551OE A2026153 
ADD       02-324379 U US AK WAINRIGHT        70 38 09.40N 160 02 05.30W BLDG               1 00035 00066 N 4 D N 2024AAL00552OE A2026153 
ADD       02-324381 U US AK CHENEGA BAY      60 03 56.01N 148 00 45.47W BLDG               1 00040 00117 N 4 D N 2024AAL00555OE A2026153 
ADD       02-324390 U US AK UTQIAGVIK        71 16 48.00N 156 42 43.20W VERTICAL STRUCTURE 1 00024 00057 N 1 A N 2024AAL00591OE A2026153 
ADD       02-324391 U US AK UTQIAGVIK        71 16 48.00N 156 42 50.40W VERTICAL STRUCTURE 1 00024 00062 N 1 A N 2024AAL00588OE A2026153 
ADD       02-324392 U US AK UTQIAGVIK        71 16 40.80N 156 42 57.60W VERTICAL STRUCTURE 1 00044 00084 N 1 A N 2024AAL00589OE A2026153 
ADD       02-324393 U US AK UTQIAGVIK        71 16 44.40N 156 42 39.60W VERTICAL STRUCTURE 1 00024 00066 N 1 A N 2024AAL00590OE A2026153 
ADD       02-346468 U US AK WAINWRIGHT       70 38 08.91N 160 01 46.50W TOWER              1 00080 00122 N 4 D N 2024AAL00526OE A2026122 
ADD       02-347479 U US AK KWIGILLINGOK     59 52 33.88N 163 10 01.23W BLDG               1 00023 00038 U 4 D U 2026AAL00492NR A2026118 
ADD       02-347480 U US AK KWIGILLINGOK     59 52 34.29N 163 10 02.54W VERTICAL STRUCTURE 1 00017 00028 U 4 D U 2026AAL00493NR A2026118 
ADD       02-347481 U US AK KWIGILLINGOK     59 52 34.52N 163 10 00.61W UTILITY POLE       1 00029 00043 U 4 D U 2026AAL00494NR A2026116 
ADD       02-347495 U US AK ANCHORAGE        61 11 57.48N 149 59 36.60W BLDG               1 00020 00093 U 4 D U 2025AAL00563OE A2026131 
ADD       02-347496 U US AK UNALASKA         53 52 23.43N 166 32 16.79W BLDG               1 00038 00102 N 4 D N 2024AAL00587OE A2026138 
ADD       02-347499 U US AK WASILLA          61 35 31.74N 149 34 21.85W T-L TWR            1 00080 00413 N 4 D N 2024AAL00072OE A2026142 
ADD       02-347500 U US AK WASILLA          61 35 31.74N 149 34 18.13W CATENARY           1 00095 00434 N 4 D N 2024AAL00073OE A2026142 
ADD       02-347501 U US AK WASILLA          61 35 31.74N 149 34 16.36W T-L TWR            1 00094 00447 N 4 D N 2024AAL00074OE A2026142 
ADD       02-347502 U US AK WASILLA          61 35 31.75N 149 34 16.36W CATENARY           1 00093 00446 N 4 D N 2024AAL00075OE A2026142 
ADD       02-347503 U US AK WASILLA          61 35 34.36N 149 34 16.37W T-L TWR            1 00085 00424 N 4 D N 2024AAL00076OE A2026142 
ADD       02-347504 U US AK WASILLA          61 35 58.39N 149 33 39.80W T-L TWR            1 00080 00441 N 4 D N 2024AAL00078OE A2026142 
ADD       02-347505 U US AK WASILLA          61 35 58.40N 149 33 45.85W T-L TWR            1 00080 00441 N 4 D N 2024AAL00077OE A2026142 
ADD       02-347506 U US AK WASILLA          61 35 58.40N 149 33 39.80W CATENARY           1 00081 00442 N 4 D N 2024AAL00079OE A2026142 
ADD       02-347507 U US AK WASILLA          61 35 58.38N 149 33 33.77W T-L TWR            1 00080 00454 N 4 D N 2024AAL00080OE A2026142 
ADD       02-347508 U US AK WASILLA          61 35 58.39N 149 33 33.77W CATENARY           1 00079 00453 N 4 D N 2024AAL00081OE A2026142 
ADD       02-347509 U US AK WASILLA          61 35 58.37N 149 33 27.72W T-L TWR            1 00080 00454 N 4 D N 2024AAL00082OE A2026142 
ADD       02-347510 U US AK WASILLA          61 35 58.38N 149 33 27.60W CATENARY           1 00079 00453 N 4 D N 2024AAL00083OE A2026142 
ADD       02-347511 U US AK WASILLA          61 35 58.36N 149 33 21.67W T-L TWR            1 00080 00451 N 4 D N 2024AAL00084OE A2026142 
ADD       02-347512 U US AK WASILLA          61 35 58.36N 149 33 17.70W CATENARY           1 00082 00452 N 4 D N 2024AAL00085OE A2026142 
ADD       02-347513 U US AK WASILLA          61 35 58.35N 149 33 15.63W T-L TWR            1 00080 00455 N 4 D N 2024AAL00086OE A2026142 
ADD       02-347514 U US AK WASILLA          61 35 58.35N 149 33 11.16W CATENARY           1 00084 00467 N 4 D N 2024AAL00087OE A2026142 
ADD       02-347515 U US AK WASILLA          61 35 58.34N 149 33 09.58W T-L TWR            1 00080 00474 N 4 D N 2024AAL00088OE A2026142 
ADD       02-347516 U US AK WASILLA          61 35 58.34N 149 33 08.09W CATENARY           1 00091 00474 N 4 D N 2024AAL00089OE A2026142 
ADD       02-347517 U US AK WASILLA          61 35 58.33N 149 33 03.91W T-L TWR            1 00080 00484 N 4 D N 2024AAL00090OE A2026142 
ADD       02-347518 U US AK WASILLA          61 35 58.34N 149 33 02.42W CATENARY           1 00080 00484 N 4 D N 2024AAL00091OE A2026142 
ADD       02-347519 U US AK WASILLA          61 35 58.32N 149 32 58.25W T-L TWR            1 00080 00491 N 4 D N 2024AAL00092OE A2026142 
ADD       02-347520 U US AK WASILLA          61 35 58.32N 149 32 54.40W CATENARY           1 00093 00496 N 4 D N 2024AAL00093OE A2026142 
ADD       02-347522 U US AK WASILLA          61 35 58.31N 149 32 46.89W CATENARY           1 00080 00498 N 4 D N 2024AAL00095OE A2026142 
ADD       02-347523 U US AK WASILLA          61 35 58.30N 149 32 46.44W T-L TWR            1 00080 00499 N 4 D N 2024AAL00096OE A2026142 
ADD       02-347524 U US AK WASILLA          61 35 58.30N 149 32 42.59W CATENARY           1 00080 00498 N 4 D N 2024AAL00097OE A2026142 
ADD       02-347525 U US AK WASILLA          61 35 58.29N 149 32 40.90W T-L TWR            1 00080 00500 N 4 D N 2024AAL00098OE A2026142 
ADD       02-347526 U US AK WASILLA          61 35 58.29N 149 32 37.06W CATENARY           1 00098 00489 N 4 D N 2024AAL00099OE A2026142 
ADD       02-347527 U US AK WASILLA          61 35 58.27N 149 32 31.17W T-L TWR            1 00080 00483 N 4 D N 2024AAL00100OE A2026142 
ADD       02-347528 U US AK WASILLA          61 35 58.28N 149 32 28.19W CATENARY           1 00084 00475 N 4 D N 2024AAL00101OE A2026142 
ADD       02-347529 U US AK WASILLA          61 35 58.26N 149 32 24.49W T-L TWR            1 00080 00472 N 4 D N 2024AAL00102OE A2026142 
ADD       02-347530 U US AK WASILLA          61 35 58.26N 149 32 18.04W CATENARY           1 00079 00466 N 4 D N 2024AAL00103OE A2026142 
ADD       02-347531 U US AK WASILLA          61 35 58.25N 149 32 17.82W T-L TWR            1 00080 00468 N 4 D N 2024AAL00104OE A2026142 
ADD       02-347532 U US AK WASILLA          61 35 58.26N 149 32 16.58W CATENARY           1 00080 00465 N 4 D N 2024AAL00105OE A2026142 
ADD       02-347533 U US AK WASILLA          61 35 58.24N 149 32 11.14W T-L TWR            1 00080 00466 N 4 D N 2024AAL00106OE A2026142 
ADD       02-347534 U US AK WASILLA          61 35 58.24N 149 32 05.06W CATENARY           1 00080 00469 N 4 D N 2024AAL00107OE A2026142 
ADD       02-347535 U US AK WASILLA          61 35 58.23N 149 32 04.47W T-L TWR            1 00080 00470 N 4 D N 2024AAL00108OE A2026142 
ADD       02-347536 U US AK WASILLA          61 35 58.22N 149 31 57.90W CATENARY           1 00081 00474 N 4 D N 2024AAL00109OE A2026142 
ADD       02-347537 U US AK WASILLA          61 35 58.22N 149 31 57.81W T-L TWR            1 00080 00472 N 4 D N 2024AAL00110OE A2026142 
ADD       02-347538 U US AK WASILLA          61 35 58.21N 149 31 51.24W CATENARY           1 00092 00495 N 4 D N 2024AAL00111OE A2026142 
ADD       02-347539 U US AK WASILLA          61 35 58.20N 149 31 51.14W T-L TWR            1 00094 00497 N 4 D N 2024AAL00112OE A2026142 
ADD       02-347540 U US AK WASILLA          61 35 58.21N 149 31 51.14W CATENARY           1 00093 00496 N 4 D N 2024AAL00113OE A2026142 
ADD       02-347541 U US AK WASILLA          61 35 58.19N 149 31 45.02W T-L TWR            1 00080 00479 N 4 D N 2024AAL00114OE A2026142 
ADD       02-347542 U US AK WASILLA          61 35 58.20N 149 31 44.52W CATENARY           1 00081 00479 N 4 D N 2024AAL00115OE A2026142 
ADD       02-347543 U US AK WASILLA          61 35 58.18N 149 31 38.88W T-L TWR            1 00080 00480 N 4 D N 2024AAL00116OE A2026142 
ADD       02-347544 U US AK WASILLA          61 35 58.19N 149 31 38.64W CATENARY           1 00079 00478 N 4 D N 2024AAL00117OE A2026142 
ADD       02-347545 U US AK WASILLA          61 35 58.17N 149 31 32.77W T-L TWR            1 00080 00478 N 4 D N 2024AAL00118OE A2026142 
ADD       02-347546 U US AK WASILLA          61 35 58.17N 149 31 31.28W CATENARY           1 00079 00476 N 4 D N 2024AAL00119OE A2026142 
ADD       02-347547 U US AK WASILLA          61 35 58.16N 149 31 26.65W T-L TWR            1 00080 00479 N 4 D N 2024AAL00120OE A2026142 
ADD       02-347548 U US AK WASILLA          61 35 58.15N 149 31 20.58W CATENARY           1 00079 00479 N 4 D N 2024AAL00121OE A2026142 
ADD       02-347549 U US AK WASILLA          61 35 58.15N 149 31 20.54W T-L TWR            1 00080 00480 N 4 D N 2024AAL00122OE A2026142 
ADD       02-347550 U US AK WASILLA          61 35 58.14N 149 31 14.71W CATENARY           1 00079 00479 N 4 D N 2024AAL00123OE A2026142 
ADD       02-347551 U US AK WASILLA          61 35 58.13N 149 31 14.43W T-L TWR            1 00080 00481 N 4 D N 2024AAL00124OE A2026142 
ADD       02-347552 U US AK WASILLA          61 35 58.14N 149 31 14.43W CATENARY           1 00079 00480 N 4 D N 2024AAL00125OE A2026142 
ADD       02-347553 U US AK WASILLA          61 35 58.12N 149 31 08.32W T-L TWR            1 00080 00487 N 4 D N 2024AAL00126OE A2026142 
ADD       02-347554 U US AK WASILLA          61 35 58.13N 149 31 08.32W CATENARY           1 00079 00486 N 4 D N 2024AAL00127OE A2026142 
ADD       02-347555 U US AK WASILLA          61 35 58.11N 149 31 02.17W T-L TWR            1 00080 00486 N 4 D N 2024AAL00128OE A2026142 
ADD       02-347556 U US AK WASILLA          61 35 58.12N 149 31 01.80W CATENARY           1 00081 00485 N 4 D N 2024AAL00129OE A2026142 
ADD       02-347557 U US AK WASILLA          61 35 58.10N 149 30 56.07W T-L TWR            1 00080 00486 N 4 D N 2024AAL00130OE A2026142 
ADD       02-347558 U US AK WASILLA          61 35 58.09N 149 30 50.24W CATENARY           1 00082 00486 N 4 D N 2024AAL00131OE A2026142 
